family,shots_per_setting,total_shots,trials,mean_fidelity,standard_deviation,standard_error,ci95_lower,ci95_upper
Product,100,72900,10,0.8496369652149639,0.012325066280122936,0.003897528175772735,0.8419978099904494,0.8572761204394784
Product,300,218700,10,0.9088191528068688,0.0078910639293046,0.0024953735178600447,0.9039282207118631,0.9137100849018744
Product,1000,729000,10,0.9515988717239023,0.007977914617258903,0.002522838116888859,0.9466541090148002,0.9565436344330045
Product,3000,2187000,10,0.9678657765518425,0.005398128489056658,0.0017070381127662357,0.9645199818508207,0.9712115712528643
Product,10000,7290000,10,0.9847953972243074,0.0031272998981162242,0.0009889390604459784,0.9828570766658333,0.9867337177827815
Pure (Haar),100,72900,10,0.8614972748581229,0.008111820817278199,0.002565182975376765,0.8564695162263845,0.8665250334898613
Pure (Haar),300,218700,10,0.9244853299565774,0.006013057303164492,0.0019014956779109394,0.920758398427872,0.9282122614852828
Pure (Haar),1000,729000,10,0.9536148047253503,0.0040176298304837425,0.0012704861059764812,0.9511246519576364,0.9561049574930642
Pure (Haar),3000,2187000,10,0.9736134191495184,0.00238213287833599,0.0007532965584714499,0.9721369578949144,0.9750898804041224
Pure (Haar),10000,7290000,10,0.9861274191143344,0.0010163463880363142,0.00032139694778800595,0.9854974810966699,0.986757357131999
