family,shots_per_setting,total_shots,trials,mean_fidelity,standard_deviation,standard_error,ci95_lower,ci95_upper
Product,100,2700,500,0.9288877475374799,0.027178604517465458,0.0012154641446927125,0.9265054378138822,0.9312700572610777
Product,150,4050,500,0.942929398784318,0.020760686908653462,0.0009284461437467821,0.9411096443425744,0.9447491532260617
Product,220,5940,500,0.9521506659858106,0.01769447194582997,0.0007913208419367757,0.9505996771356144,0.9537016548360067
Product,330,8910,500,0.9613892074936516,0.013821019896479249,0.0006180948001380941,0.960177741685381,0.9626006733019223
Product,470,12690,500,0.9678832631386844,0.012080008744563515,0.0005402344144327182,0.9668244036863963,0.9689421225909726
Product,680,18360,500,0.9743613881915533,0.00988366549741855,0.000442010958381943,0.9734950467131247,0.9752277296699818
Product,1000,27000,500,0.9777702503232168,0.008260684822184644,0.00036942905606211253,0.9770461693733351,0.9784943312730986
Product,1500,40500,500,0.9825181527141104,0.006333848452217287,0.00028325831396679364,0.9819629664187355,0.9830733390094852
Product,2200,59400,500,0.9853429631791648,0.005470576747141695,0.0002446516296547702,0.9848634459850415,0.9858224803732881
Product,3000,81000,500,0.9876620118262158,0.004801614548231723,0.0002147347306319615,0.9872411317541772,0.9880828918982545
Product,3500,94500,500,0.9888040550625339,0.004267958915395457,0.0001908689252000103,0.9884299519691419,0.9891781581559259
Product,4000,108000,500,0.9890625027810392,0.003968908909846655,0.00017749500237843407,0.9887146125763775,0.989410392985701
Product,4250,114750,500,0.9895706618144275,0.00392249204787707,0.00017541917720510975,0.9892268402271055,0.9899144834017496
Product,4500,121500,500,0.9896582855744757,0.003781013442670034,0.00016909206163301399,0.989326865133675,0.9899897060152764
Product,4750,128250,500,0.9901068781123595,0.003738506887137561,0.0001671911106798144,0.989779183535427,0.990434572689292
Product,5000,135000,500,0.9901810024528347,0.003715176348325576,0.00016614773726510848,0.989855352887795,0.9905066520178744
Product,5250,141750,500,0.9906228905370795,0.003415176218621992,0.00015273132359958913,0.9903235371428243,0.9909222439313348
Product,5500,148500,500,0.9907053022876358,0.0035692491905619382,0.00015962167637465188,0.9903924438019415,0.99101816077333
Product,5750,155250,500,0.9910283702285813,0.0033652736178431354,0.00015049961144767798,0.9907333909901438,0.9913233494670187
Product,6000,162000,500,0.9909906224826319,0.0034317671052988314,0.00015347329060791731,0.9906898148330404,0.9912914301322234
Product,6250,168750,500,0.9914523910223023,0.003325190709501751,0.00014870704929193342,0.9911609252056901,0.9917438568389145
Product,6500,175500,500,0.9915776684017614,0.0034966432982433742,0.00015637464215882512,0.9912711741031301,0.9918841627003927
Product,6750,182250,500,0.9917353874449127,0.0031549417706829394,0.0001410932852860121,0.9914588446057522,0.9920119302840733
Product,7000,189000,500,0.9920715604391945,0.0029470198329588655,0.00013179473355072195,0.9918132427614351,0.992329878116954
Product,7250,195750,500,0.9920283380621767,0.0030492379112846955,0.00013636606498404103,0.991761060574808,0.9922956155495455
Product,7500,202500,500,0.9916448207470338,0.0030675347562788943,0.00013718432476765715,0.9913759394704892,0.9919137020235783
Product,7750,209250,500,0.9923388179933811,0.00272874436774628,0.00012203315799000732,0.9920996330037206,0.9925780029830416
Product,8000,216000,500,0.9923208426041672,0.0028424048626982056,0.0001271162098513829,0.9920716948328585,0.9925699903754759
Product,8500,229500,500,0.9927791546294904,0.0028565778620052076,0.00012775004564929314,0.9925287645400178,0.993029544718963
Product,9000,243000,500,0.9927867158791116,0.0027365504930632997,0.0001223822585270021,0.9925468466523987,0.9930265851058245
Product,10000,270000,500,0.9931805532806068,0.002544108395773294,0.00011377598630154048,0.9929575523474559,0.9934035542137578
Pure (Haar),100,2700,500,0.9264528706826575,0.02438238727554841,0.0010904135080370427,0.9243156602069049,0.92859008115841
Pure (Haar),150,4050,500,0.9399256931006273,0.019969865213631303,0.000893079522383759,0.9381752572367552,0.9416761289644995
Pure (Haar),220,5940,500,0.9508458287094299,0.015905899581997427,0.0007113334541726347,0.9494516151392516,0.9522400422796082
Pure (Haar),330,8910,500,0.9602620425575099,0.012919866366194108,0.0005777939891004643,0.959129566338873,0.9613945187761468
Pure (Haar),470,12690,500,0.9669282870825703,0.010699047060446743,0.00047847593043256434,0.9659904742589225,0.9678660999062181
Pure (Haar),680,18360,500,0.9718330491160196,0.009661198849934232,0.00043206194745191464,0.9709862076990139,0.9726798905330254
Pure (Haar),1000,27000,500,0.9774266949156031,0.007727198107645301,0.00034557080488605257,0.9767493761380264,0.9781040136931798
Pure (Haar),1500,40500,500,0.9815784172960027,0.005865274230218398,0.0002623030377089218,0.9810643033420933,0.9820925312499121
Pure (Haar),2200,59400,500,0.9851610143260641,0.0051464079826441305,0.00023015436178279667,0.9847099117769698,0.9856121168751584
Pure (Haar),3000,81000,500,0.9869492949847692,0.0042966097365657934,0.00019215022887497156,0.9865726805361743,0.9873259094333642
Pure (Haar),3500,94500,500,0.9881516624109686,0.0038728212026632527,0.00017319782947715045,0.9878121946651934,0.9884911301567438
Pure (Haar),4000,108000,500,0.9888393107572037,0.0038198716888331935,0.0001708298552311589,0.9885044842409506,0.9891741372734567
Pure (Haar),4250,114750,500,0.989104787536884,0.003912276901300035,0.00017496234196218225,0.9887618613466381,0.9894477137271299
Pure (Haar),4500,121500,500,0.9897593456896923,0.003407876593824399,0.00015240487445443592,0.9894606321357615,0.990058059243623
Pure (Haar),4750,128250,500,0.989933352145474,0.0034683411635988625,0.0001551089322193555,0.989629338638324,0.9902373656526239
Pure (Haar),5000,135000,500,0.9901137515682306,0.003382248765632468,0.00015125876313537906,0.9898172843924852,0.990410218743976
Pure (Haar),5250,141750,500,0.9901479284507889,0.0034492801169691725,0.00015425649629962991,0.9898455857180416,0.9904502711835362
