family,shots_per_setting,total_shots,trials,mean_fidelity,standard_deviation,standard_error,ci95_lower,ci95_upper
Product,100,2700,100,0.9023437340777436,0.027532299911822163,0.0027532299911822164,0.8969474032950264,0.9077400648604608
Product,150,4050,100,0.9191488394722498,0.02299126188937562,0.002299126188937562,0.9146425521419321,0.9236551268025674
Product,220,5940,100,0.9312757386385124,0.018512628316557374,0.0018512628316557373,0.9276472634884672,0.9349042137885577
Product,330,8910,100,0.9415427613940669,0.016988172601478453,0.0016988172601478454,0.9382130795641771,0.9448724432239567
Product,470,12690,100,0.9441610609009429,0.014035442351852905,0.0014035442351852906,0.9414101141999797,0.9469120076019061
Product,680,18360,100,0.9508990879424698,0.01075929008458732,0.001075929008458732,0.9487902670858906,0.953007908799049
Product,1000,27000,100,0.9547157901875696,0.009100055090227892,0.0009100055090227892,0.952932179389885,0.9564994009852542
Product,1500,40500,100,0.9591462020642446,0.007727847253343527,0.0007727847253343527,0.9576315440025893,0.9606608601258999
Product,2200,59400,100,0.9613479863279233,0.006462900931334513,0.0006462900931334512,0.9600812577453818,0.9626147149104648
Product,3300,89100,100,0.9634542353388721,0.005938982783137349,0.0005938982783137349,0.9622901947133772,0.964618275964367
Product,4700,126900,100,0.964769502497629,0.0045208417863515805,0.00045208417863515805,0.9638834175075042,0.9656555874877539
Product,6800,183600,100,0.9661177050035582,0.003876620540146997,0.0003876620540146997,0.9653578873776893,0.966877522629427
Product,10000,270000,100,0.9675692336700927,0.003432846592901433,0.00034328465929014333,0.966896395737884,0.9682420716023015
Pure (Haar),100,2700,100,0.892717929637654,0.02566672637069594,0.002566672637069594,0.8876872512689975,0.8977486080063104
Pure (Haar),150,4050,100,0.9122746040832348,0.021631716711136235,0.0021631716711136236,0.9080347876078521,0.9165144205586175
Pure (Haar),220,5940,100,0.922044244095321,0.01867774853800191,0.0018677748538001911,0.9183834053818727,0.9257050828087694
Pure (Haar),330,8910,100,0.9322313045408501,0.0159524925555248,0.0015952492555524798,0.9291046159999673,0.935357993081733
Pure (Haar),470,12690,100,0.9372978039045853,0.012471778810172257,0.0012471778810172257,0.9348533352577916,0.939742272551379
Pure (Haar),680,18360,100,0.9422275095387568,0.01136696137662494,0.001136696137662494,0.9399995851089383,0.9444554339685752
Pure (Haar),1000,27000,100,0.9469447960651487,0.008766696849639237,0.0008766696849639236,0.9452265234826194,0.948663068647678
Pure (Haar),1500,40500,100,0.9487805651724375,0.007724680244500503,0.0007724680244500503,0.9472665278445154,0.9502946025003596
Pure (Haar),2200,59400,100,0.9517467315086156,0.006278496441082865,0.0006278496441082865,0.9505161462061633,0.9529773168110678
Pure (Haar),3300,89100,100,0.9558886744773999,0.004988336113042798,0.0004988336113042797,0.9549109605992435,0.9568663883555563
Pure (Haar),4700,126900,100,0.9564810802653693,0.004621162033392214,0.00046211620333922143,0.9555753325068244,0.9573868280239142
Pure (Haar),6800,183600,100,0.9575603995842441,0.004360273600483036,0.00043602736004830364,0.9567057859585494,0.9584150132099388
Pure (Haar),10000,270000,100,0.9587488161848163,0.0037279789554927074,0.0003727978955492707,0.9580181323095398,0.9594795000600929
Mixed (full rank),100,2700,100,0.8431004892427342,0.028251950358370137,0.002825195035837014,0.8375631069724936,0.8486378715129748
Mixed (full rank),150,4050,100,0.8763819644559082,0.021489199149714536,0.0021489199149714536,0.8721700814225641,0.8805938474892523
Mixed (full rank),220,5940,100,0.9055317205537163,0.01877152157908791,0.0018771521579087908,0.9018525023242151,0.9092109387832176
Mixed (full rank),330,8910,100,0.9303254268461729,0.01461339617486292,0.001461339617486292,0.9274612011958998,0.933189652496446
Mixed (full rank),470,12690,100,0.947076808842319,0.010887730914544728,0.0010887730914544728,0.9449428135830683,0.9492108041015698
Mixed (full rank),680,18360,100,0.9594168549979141,0.010226267381648883,0.0010226267381648884,0.9574125065911109,0.9614212034047173
Mixed (full rank),1000,27000,100,0.9705003361108936,0.006174203546916319,0.0006174203546916319,0.969290192215698,0.9717104800060892
Mixed (full rank),1500,40500,100,0.9770950214951243,0.005192068378249037,0.0005192068378249038,0.9760773760929875,0.9781126668972611
Mixed (full rank),2200,59400,100,0.9833002650594023,0.0045272951647059665,0.00045272951647059667,0.9824129152071199,0.9841876149116846
Mixed (full rank),3300,89100,100,0.9880553552374914,0.003515061383090387,0.0003515061383090387,0.9873664032064057,0.9887443072685772
Mixed (full rank),4700,126900,100,0.9911507232649229,0.002514655953750566,0.00025146559537505663,0.9906578506979878,0.991643595831858
Mixed (full rank),6800,183600,100,0.9928170715802935,0.002546042655210015,0.00025460426552100147,0.9923180472198724,0.9933160959407147
Mixed (full rank),10000,270000,100,0.9944473376836581,0.002073677782187928,0.00020736777821879282,0.9940408968383493,0.994853778528967
