family,shots_per_setting,total_shots,trials,mean_fidelity,standard_deviation,standard_error,ci95_lower,ci95_upper
Product,100,2700,100,0.9077227152417163,0.03103704208718958,0.003103704208718958,0.9016394549926272,0.9138059754908054
Product,150,4050,100,0.9256499539300542,0.025103688198396163,0.002510368819839616,0.9207296310431686,0.9305702768169398
Product,220,5940,100,0.9306384438923431,0.022463420457656844,0.0022463420457656843,0.9262356134826424,0.9350412743020438
Product,330,8910,100,0.9417903886632446,0.019392580254125543,0.0019392580254125543,0.937989442933436,0.9455913343930532
Product,470,12690,100,0.9476826966421044,0.019013180311150048,0.0019013180311150048,0.943956113301119,0.9514092799830898
Product,680,18360,100,0.9511846403055029,0.017298662459970072,0.001729866245997007,0.9477941024633487,0.954575178147657
Product,1000,27000,100,0.9553468626401491,0.016184530580143783,0.0016184530580143782,0.9521746946464409,0.9585190306338573
Product,1500,40500,100,0.9588958926028731,0.015587235697383978,0.0015587235697383979,0.9558407944061859,0.9619509907995604
Product,2200,59400,100,0.9606904151158483,0.01566397766509453,0.001566397766509453,0.9576202754934897,0.9637605547382069
Product,3300,89100,100,0.9631830853865118,0.016552233082640068,0.0016552233082640067,0.9599388477023143,0.9664273230707092
Product,4700,126900,100,0.9651031019572079,0.015680894050991018,0.0015680894050991018,0.9620296467232137,0.9681765571912022
Product,6800,183600,100,0.9654411507027498,0.01589123933836541,0.001589123933836541,0.9623264677924303,0.9685558336130694
Product,10000,270000,100,0.9674460053084877,0.0163431157453391,0.00163431157453391,0.9642427546224012,0.9706492559945742
Pure (Haar),100,2700,100,0.8914492403125378,0.029393560592714692,0.0029393560592714694,0.8856881024363658,0.8972103781887099
Pure (Haar),150,4050,100,0.9121297117858042,0.02179297746155183,0.002179297746155183,0.90785828820334,0.9164011353682683
Pure (Haar),220,5940,100,0.9225742029524358,0.018870292011368976,0.0018870292011368976,0.9188756257182075,0.926272780186664
Pure (Haar),330,8910,100,0.9284673606031106,0.018693677934336413,0.0018693677934336413,0.9248033997279806,0.9321313214782406
Pure (Haar),470,12690,100,0.9371793331472088,0.015503325518351986,0.0015503325518351986,0.9341406813456118,0.9402179849488058
Pure (Haar),680,18360,100,0.9396675987594378,0.012792515869318018,0.0012792515869318017,0.9371602656490515,0.9421749318698242
Pure (Haar),1000,27000,100,0.9455209554797571,0.013436829563311457,0.0013436829563311457,0.9428873368853481,0.9481545740741661
Pure (Haar),1500,40500,100,0.9483347941096935,0.01245187576561602,0.0012451875765616019,0.9458942264596327,0.9507753617597542
Pure (Haar),2200,59400,100,0.9512022192516781,0.010915952839359273,0.0010915952839359272,0.9490626924951637,0.9533417460081925
Pure (Haar),3300,89100,100,0.9540126924529082,0.0112440050091868,0.00112440050091868,0.9518088674711076,0.9562165174347088
Pure (Haar),4700,126900,100,0.955974261900966,0.011194048570170027,0.0011194048570170028,0.9537802283812127,0.9581682954207194
Pure (Haar),6800,183600,100,0.956267133458672,0.010773061734715208,0.0010773061734715207,0.9541556133586678,0.9583786535586761
Pure (Haar),10000,270000,100,0.9576114120564654,0.011042974130324758,0.0011042974130324758,0.9554469891269217,0.959775834986009
Mixed (full rank),100,2700,100,0.8422170268183906,0.02887407521131033,0.002887407521131033,0.8365577080769738,0.8478763455598074
Mixed (full rank),150,4050,100,0.8766097168923881,0.02292164682057793,0.002292164682057793,0.8721170741155548,0.8811023596692213
Mixed (full rank),220,5940,100,0.9049141973077419,0.01730158770965522,0.001730158770965522,0.9015230861166494,0.9083053084988344
Mixed (full rank),330,8910,100,0.9282645647393086,0.016089582015371764,0.0016089582015371764,0.9251110066642958,0.9314181228143215
Mixed (full rank),470,12690,100,0.9450860511269414,0.01159448699904576,0.0011594486999045761,0.9428135316751285,0.9473585705787544
Mixed (full rank),680,18360,100,0.9584364192558107,0.010412282552684655,0.0010412282552684656,0.9563956118754845,0.9604772266361369
Mixed (full rank),1000,27000,100,0.9695611749117308,0.00771426449609794,0.000771426449609794,0.9680491790704956,0.971073170752966
Mixed (full rank),1500,40500,100,0.9761707599093696,0.005674005539865799,0.0005674005539865799,0.9750586548235559,0.9772828649951834
Mixed (full rank),2200,59400,100,0.9817944496730654,0.0048965573955542276,0.0004896557395554227,0.9808347244235368,0.982754174922594
Mixed (full rank),3300,89100,100,0.9869390323274319,0.0037886404775805778,0.0003788640477580578,0.9861964587938261,0.9876816058610376
Mixed (full rank),4700,126900,100,0.9898603387654604,0.0031935611021661815,0.00031935611021661814,0.9892344007894358,0.990486276741485
Mixed (full rank),6800,183600,100,0.9919892293368094,0.0025388908917963714,0.0002538890891796371,0.9914916067220173,0.9924868519516016
Mixed (full rank),10000,270000,100,0.9929329603099392,0.0025683083682300654,0.00025683083682300655,0.9924295718697661,0.9934363487501122
