family,shots_per_setting,total_shots,trials,mean_fidelity,standard_deviation,standard_error,ci95_lower,ci95_upper
Product,100,2700,100,0.9276420147670281,0.029279492485610355,0.0029279492485610355,0.9219032342398485,0.9333807952942077
Product,150,4050,100,0.9423920631474673,0.01719797546111101,0.0017197975461111011,0.9390212599570895,0.945762866337845
Product,220,5940,100,0.9483132411950246,0.019587865956406828,0.0019587865956406827,0.9444740194675688,0.9521524629224803
Product,330,8910,100,0.9632652088392206,0.014311783548902402,0.0014311783548902402,0.9604600992636357,0.9660703184148055
Product,470,12690,100,0.9675397613541772,0.011882603729020213,0.0011882603729020213,0.9652107710232892,0.9698687516850651
Product,680,18360,100,0.9742979881594636,0.009989139936457295,0.0009989139936457294,0.9723401167319179,0.9762558595870092
Product,1000,27000,100,0.9782995014704318,0.008298771401881035,0.0008298771401881036,0.976672942275663,0.9799260606652005
Product,1500,40500,100,0.983049318400592,0.006537960058547731,0.000653796005854773,0.9817678782291166,0.9843307585720673
Product,2200,59400,100,0.9852940635317686,0.0059190996322508686,0.0005919099632250869,0.9841339200038475,0.9864542070596898
Product,3300,89100,100,0.9884326631820906,0.004531934085821969,0.0004531934085821969,0.9875444041012694,0.9893209222629117
Product,4700,126900,100,0.9892339329055573,0.003474779651593247,0.0003474779651593247,0.988552876093845,0.9899149897172695
Product,6800,183600,100,0.9915839607383937,0.003281409765480333,0.0003281409765480333,0.9909408044243596,0.9922271170524278
Product,10000,270000,100,0.9936936320387852,0.0024096497058804884,0.00024096497058804885,0.9932213406964326,0.9941659233811379
Pure (Haar),100,2700,100,0.9216155873569332,0.02425718912244699,0.002425718912244699,0.9168611782889335,0.9263699964249328
Pure (Haar),150,4050,100,0.9408286757389435,0.01686272356035573,0.001686272356035573,0.9375235819211137,0.9441337695567732
Pure (Haar),220,5940,100,0.9530459813745642,0.015070495240885861,0.0015070495240885862,0.9500921643073506,0.9559997984417778
Pure (Haar),330,8910,100,0.9602324573418103,0.013295821496725656,0.0013295821496725657,0.9576264763284521,0.9628384383551685
Pure (Haar),470,12690,100,0.9671277601944185,0.01203876174774745,0.001203876174774745,0.96476816289186,0.969487357496977
Pure (Haar),680,18360,100,0.9714150658588737,0.00982331112377827,0.000982331112377827,0.9694896968786132,0.9733404348391342
Pure (Haar),1000,27000,100,0.9764563234916921,0.007569671988026339,0.0007569671988026339,0.974972667782039,0.9779399792013452
Pure (Haar),1500,40500,100,0.9810058538492771,0.006141894957972327,0.0006141894957972327,0.9798020424375145,0.9822096652610397
Pure (Haar),2200,59400,100,0.9849689983575363,0.0057733577792376395,0.0005773357779237639,0.9838374202328057,0.9861005764822668
Pure (Haar),3300,89100,100,0.987590341801356,0.004338321146445227,0.00043383211464452265,0.9867400308566527,0.9884406527460592
Pure (Haar),4700,126900,100,0.9898192851058863,0.003368305068329797,0.0003368305068329797,0.9891590973124937,0.990479472899279
Pure (Haar),6800,183600,100,0.991113493705861,0.002938185629689828,0.0002938185629689828,0.9905376093224418,0.9916893780892801
Pure (Haar),10000,270000,100,0.9928589972426747,0.0023024972368648738,0.0002302497236864874,0.9924077077842491,0.9933102867011002
Mixed (full rank),100,2700,100,0.845600173243701,0.02724064791907411,0.002724064791907411,0.8402610062515624,0.8509393402358395
Mixed (full rank),150,4050,100,0.8787317858684911,0.020913426745122764,0.0020913426745122763,0.874632754226447,0.8828308175105352
Mixed (full rank),220,5940,100,0.9075435060711792,0.0195828186696124,0.00195828186696124,0.9037052736119351,0.9113817385304233
Mixed (full rank),330,8910,100,0.9303612450814859,0.014777164543062911,0.0014777164543062912,0.9274649208310456,0.9332575693319262
Mixed (full rank),470,12690,100,0.946368105504977,0.011261862147129013,0.0011261862147129013,0.9441607805241397,0.9485754304858143
Mixed (full rank),680,18360,100,0.9597890241444434,0.010387006174068965,0.0010387006174068965,0.9577531709343259,0.961824877354561
Mixed (full rank),1000,27000,100,0.9706835919631943,0.006265366977548792,0.0006265366977548793,0.9694555800355947,0.9719116038907939
Mixed (full rank),1500,40500,100,0.9778843973593502,0.005757773160241629,0.0005757773160241629,0.9767558738199428,0.9790129208987576
Mixed (full rank),2200,59400,100,0.9839920016725072,0.004795168706400359,0.0004795168706400359,0.9830521486060527,0.9849318547389617
Mixed (full rank),3300,89100,100,0.9888241709628329,0.003885668444082692,0.00038856684440826924,0.9880625799477927,0.9895857619778732
Mixed (full rank),4700,126900,100,0.9917992301423072,0.0028056318294680613,0.00028056318294680615,0.9912493263037314,0.992349133980883
Mixed (full rank),6800,183600,100,0.9937446153630087,0.002150144722190444,0.00021501447221904438,0.9933231869974594,0.9941660437285581
Mixed (full rank),10000,270000,100,0.9958632250869873,0.001509209689028738,0.0001509209689028738,0.9955674199879377,0.9961590301860369
