sample,method,fidelity
0,linear,1.0
0,projected,0.9993793355226871
0,low_rank,0.9993793355226871
0,shrinkage,0.934123323681434
0,mle,0.9995557469964869
1,linear,1.0
1,projected,0.9982028358129348
1,low_rank,0.9996104561694608
1,shrinkage,0.9343902274499919
1,mle,0.9994985757139551
2,linear,1.0
2,projected,0.9874228135392521
2,low_rank,0.9998325418974786
2,shrinkage,0.925590590183505
2,mle,0.9936621555932201
3,linear,1.0
3,projected,0.9990694774526885
3,low_rank,0.9997634052538051
3,shrinkage,0.9401663228784054
3,mle,0.9985407009267826
4,linear,0.9995599165667041
4,projected,0.9889636233969276
4,low_rank,0.9991457248496289
4,shrinkage,0.9246039335847549
4,mle,0.9941210244223707
5,linear,0.9943222490829935
5,projected,0.9829285320466844
5,low_rank,0.9994359300442031
5,shrinkage,0.9198900277572477
5,mle,0.9817561252323133
6,linear,1.0
6,projected,0.9931717147594071
6,low_rank,0.9995636273123425
6,shrinkage,0.9281366536482811
6,mle,0.9958665368840559
7,linear,1.0
7,projected,0.9990859778320241
7,low_rank,0.9990859778320241
7,shrinkage,0.9502677456161198
7,mle,0.9992589693755735
8,linear,0.9953610346981979
8,projected,0.990417563808484
8,low_rank,0.9995444843677752
8,shrinkage,0.9208249403084897
8,mle,0.9990978069711044
9,linear,0.9948123634364846
9,projected,0.9863517299030358
9,low_rank,0.9993371076055116
9,shrinkage,0.9203311333871841
9,mle,0.9940607025853164
10,linear,0.9899750432460264
10,projected,0.974304331082088
10,low_rank,0.9990046809216955
10,shrinkage,0.9159775363759729
10,mle,0.9823715862366379
11,linear,1.0
11,projected,0.9995277416077984
11,low_rank,0.9995277416077984
11,shrinkage,0.943141271016119
11,mle,0.9998857073273705
12,linear,0.9997855438487613
12,projected,0.9754409684060422
12,low_rank,0.9994598209028035
12,shrinkage,0.9232767975829446
12,mle,0.9907886797768316
13,linear,1.0
13,projected,0.9857974890851717
13,low_rank,0.9992030006599637
13,shrinkage,0.9276695528919339
13,mle,0.9952246591037215
14,linear,1.0
14,projected,0.9933816400991182
14,low_rank,0.9987672001010602
14,shrinkage,0.9326792922139785
14,mle,0.9992708287076306
15,linear,1.0
15,projected,0.9871254072781452
15,low_rank,0.9989123244330526
15,shrinkage,0.9251877162846956
15,mle,0.9930667621108469
16,linear,1.0
16,projected,0.995778261246591
16,low_rank,0.9993591123596711
16,shrinkage,0.9349030596761505
16,mle,0.99506319606643
17,linear,0.9974698997402358
17,projected,0.9892801515260633
17,low_rank,0.9990374223002546
17,shrinkage,0.9227229123756423
17,mle,0.9951121576100698
18,linear,0.9906099984616447
18,projected,0.9815957703056358
18,low_rank,0.9994149838104808
18,shrinkage,0.916549012693181
18,mle,0.9881452932849797
19,linear,1.0
19,projected,0.9886714114088114
19,low_rank,0.9992975994264038
19,shrinkage,0.925102650781532
19,mle,0.9955566863820915
