n_qubits,hilbert_dimension,density_matrix_complex_values,density_matrix_complex128_bytes,complete_pauli_settings,outcomes_per_setting,stored_frequency_values,count_array_int64_bytes
1,2,4,64,3,2,6,48
2,4,16,256,9,4,36,288
3,8,64,1024,27,8,216,1728
4,16,256,4096,81,16,1296,10368
5,32,1024,16384,243,32,7776,62208
6,64,4096,65536,729,64,46656,373248
7,128,16384,262144,2187,128,279936,2239488
8,256,65536,1048576,6561,256,1679616,13436928
9,512,262144,4194304,19683,512,10077696,80621568
10,1024,1048576,16777216,59049,1024,60466176,483729408
11,2048,4194304,67108864,177147,2048,362797056,2902376448
12,4096,16777216,268435456,531441,4096,2176782336,17414258688
13,8192,67108864,1073741824,1594323,8192,13060694016,104485552128
14,16384,268435456,4294967296,4782969,16384,78364164096,626913312768
15,32768,1073741824,17179869184,14348907,32768,470184984576,3761479876608
16,65536,4294967296,68719476736,43046721,65536,2821109907456,22568879259648
17,131072,17179869184,274877906944,129140163,131072,16926659444736,135413275557888
18,262144,68719476736,1099511627776,387420489,262144,101559956668416,812479653347328
19,524288,274877906944,4398046511104,1162261467,524288,609359740010496,4874877920083968
20,1048576,1099511627776,17592186044416,3486784401,1048576,3656158440062976,29249267520503808
