n_qubits,state_type,observable,observable_weight,method,requested_copy_budget,mean_actual_total_copies,mean_collection_total_copies,replicates,bias,mae,rmse,p90_absolute_error,physical_fraction
2,haar,IZ,1,classical_shadow,90,90.0,90.0,20,0.020134342341376503,0.12074852993889999,0.15083159739067917,0.26251435696331904,not_applicable
2,haar,IZ,1,classical_shadow,180,180.0,180.0,20,0.0901343423413765,0.1272430426170971,0.16639701266383253,0.2859018876551991,not_applicable
2,haar,IZ,1,classical_shadow,450,450.0,450.0,20,0.01980100900804318,0.0623477959264749,0.07551209237028028,0.10625765182606228,not_applicable
2,haar,IZ,1,classical_shadow,900,900.0,900.0,20,0.010467675674709844,0.0351508149122988,0.043029245711986935,0.06474184236762655,not_applicable
2,haar,IZ,1,classical_shadow,1800,1800.0,1800.0,20,0.005134342341376508,0.03069147243473533,0.04075654921947222,0.07347232170992933,not_applicable
2,haar,IZ,1,classical_shadow,4500,4500.0,4500.0,20,-0.0017323243252901598,0.022661288101005657,0.025659164614232507,0.04058464982154149,not_applicable
2,haar,IZ,1,direct_split_collection_budget,90,22.0,88.0,20,-0.01683535462832047,0.14733666749771707,0.17258284759040746,0.26388374619464683,not_applicable
2,haar,IZ,1,direct_split_collection_budget,180,45.0,180.0,20,0.03791212011915429,0.1128341492454713,0.13970293994974092,0.2219054653527739,not_applicable
2,haar,IZ,1,direct_split_collection_budget,450,112.0,448.0,20,0.0021581518651860284,0.07897242816294452,0.09588229502990686,0.14065664212589601,not_applicable
2,haar,IZ,1,direct_split_collection_budget,900,225.0,900.0,20,0.015245453452487612,0.043821577066952735,0.05651565691967236,0.09432448883117507,not_applicable
2,haar,IZ,1,direct_split_collection_budget,1800,450.0,1800.0,20,0.010134342341376498,0.03196764077405123,0.038812832096466396,0.0672643171444146,not_applicable
2,haar,IZ,1,direct_split_collection_budget,4500,1125.0,4500.0,20,0.0016454534524876156,0.025791126354602935,0.029080845563219302,0.034906707393360936,not_applicable
