n_qubits,state_type,replicate,shots_per_setting,settings,total_copies,method,mle_iterations_requested,mle_iterations_completed,fidelity,hit_99_percent,reconstruction_seconds
1,product,0,5,3,15,rank_one_mle,30,13,0.9853895401855807,False,0.006485042
1,product,0,10,3,30,rank_one_mle,30,9,0.9972282543192675,True,0.004890125
1,product,0,20,3,60,rank_one_mle,30,5,0.9976929928873823,True,0.003173708
1,product,0,50,3,150,rank_one_mle,30,9,0.9891644123812935,False,0.004645541
1,product,0,100,3,300,rank_one_mle,30,16,0.9967150114234359,True,0.007767917
1,product,0,300,3,900,rank_one_mle,30,4,0.9983038479997669,True,0.002785542
1,product,0,1000,3,3000,rank_one_mle,30,4,0.9999862796561544,True,0.002432542
1,product,1,5,3,15,rank_one_mle,30,13,0.9471999044378455,False,0.006400542
1,product,1,10,3,30,rank_one_mle,30,10,0.9846931615954021,False,0.005608125
1,product,1,20,3,60,rank_one_mle,30,5,0.9989939708469152,True,0.002911375
1,product,1,50,3,150,rank_one_mle,30,1,0.9944265681411979,True,0.001102666
1,product,1,100,3,300,rank_one_mle,30,11,0.9883096130011143,False,0.005456667
1,product,1,300,3,900,rank_one_mle,30,8,0.9976917051758202,True,0.004359417
1,product,1,1000,3,3000,rank_one_mle,30,3,0.9992701961811625,True,0.002497291
1,product,2,5,3,15,rank_one_mle,30,8,0.7261362072995932,False,0.004221209
1,product,2,10,3,30,rank_one_mle,30,13,0.97167185823241,False,0.006380917
1,product,2,20,3,60,rank_one_mle,30,7,0.9876846011767155,False,0.003896458
1,product,2,50,3,150,rank_one_mle,30,6,0.9995807213505685,True,0.003308875
1,product,2,100,3,300,rank_one_mle,30,9,0.9974170302421332,True,0.004628958
1,product,2,300,3,900,rank_one_mle,30,7,0.9994051204610196,True,0.003880125
1,product,2,1000,3,3000,rank_one_mle,30,6,0.9992975606298754,True,0.003714709
1,product,3,5,3,15,rank_one_mle,30,7,0.9811132223992598,False,0.003922625
1,product,3,10,3,30,rank_one_mle,30,12,0.9619475947638328,False,0.006293292
1,product,3,20,3,60,rank_one_mle,30,9,0.9981448102477823,True,0.005013667
1,product,3,50,3,150,rank_one_mle,30,11,0.988683161467157,False,0.005564875
1,product,3,100,3,300,rank_one_mle,30,6,0.9993956198386001,True,0.003273625
1,product,3,300,3,900,rank_one_mle,30,8,0.9984907687970296,True,0.004377292
1,product,3,1000,3,3000,rank_one_mle,30,8,0.9998615449553386,True,0.005076792
1,product,4,5,3,15,rank_one_mle,30,12,0.8289143727373295,False,0.005923084
1,product,4,10,3,30,rank_one_mle,30,13,0.9852383482087606,False,0.007022708
1,product,4,20,3,60,rank_one_mle,30,6,0.9972574862129637,True,0.003352958
1,product,4,50,3,150,rank_one_mle,30,13,0.9943411072709244,True,0.006328709
1,product,4,100,3,300,rank_one_mle,30,8,0.9950339354939953,True,0.0043105
1,product,4,300,3,900,rank_one_mle,30,5,0.9971249233729867,True,0.003163584
1,product,4,1000,3,3000,rank_one_mle,30,6,0.9999570856525364,True,0.003314959
1,product,5,5,3,15,rank_one_mle,30,12,0.9526958477684879,False,0.006012625
1,product,5,10,3,30,rank_one_mle,30,5,0.9930375880352958,True,0.002856
1,product,5,20,3,60,rank_one_mle,30,13,0.980974411091227,False,0.006837667
1,product,5,50,3,150,rank_one_mle,30,10,0.997920998636657,True,0.005047542
1,product,5,100,3,300,rank_one_mle,30,11,0.9962083195234194,True,0.005925583
1,product,5,300,3,900,rank_one_mle,30,10,0.9994766527512645,True,0.005088792
1,product,5,1000,3,3000,rank_one_mle,30,9,0.9999099418343715,True,0.004569792
1,product,6,5,3,15,rank_one_mle,30,13,0.9990752323040678,True,0.006673333
1,product,6,10,3,30,rank_one_mle,30,13,0.9783857444143343,False,0.006426
1,product,6,20,3,60,rank_one_mle,30,10,0.9824589753753142,False,0.005297542
1,product,6,50,3,150,rank_one_mle,30,11,0.9876900478659568,False,0.005950458
1,product,6,100,3,300,rank_one_mle,30,11,0.9992305074765704,True,0.005477208
1,product,6,300,3,900,rank_one_mle,30,8,0.9959696140389559,True,0.004364083
1,product,6,1000,3,3000,rank_one_mle,30,7,0.9997849413518962,True,0.003934083
1,product,7,5,3,15,rank_one_mle,30,9,0.9851967878540545,False,0.0046505
1,product,7,10,3,30,rank_one_mle,30,1,0.9949688265794565,True,0.001089083
1,product,7,20,3,60,rank_one_mle,30,7,0.9911233258378264,True,0.003688625
1,product,7,50,3,150,rank_one_mle,30,11,0.9902183923360752,True,0.005855542
1,product,7,100,3,300,rank_one_mle,30,9,0.9988573312911677,True,0.004619333
1,product,7,300,3,900,rank_one_mle,30,7,0.9995794857695541,True,0.003665209
1,product,7,1000,3,3000,rank_one_mle,30,4,0.9999519174525431,True,0.002394417
1,haar,0,5,3,15,rank_one_mle,30,13,0.951015894317145,False,0.006472208
1,haar,0,10,3,30,rank_one_mle,30,1,0.992106973138766,True,0.001147375
1,haar,0,20,3,60,rank_one_mle,30,1,0.992106973138766,True,0.00108175
1,haar,0,50,3,150,rank_one_mle,30,9,0.9991032457950376,True,0.00452725
1,haar,0,100,3,300,rank_one_mle,30,3,0.9966697390764775,True,0.002162
1,haar,0,300,3,900,rank_one_mle,30,8,0.9989008562292587,True,0.004468667
1,haar,0,1000,3,3000,rank_one_mle,30,7,0.9999911346419055,True,0.003806083
1,haar,1,5,3,15,rank_one_mle,30,12,0.9454012345040241,False,0.005777125
1,haar,1,10,3,30,rank_one_mle,30,11,0.9897002728740465,False,0.005792583
1,haar,1,20,3,60,rank_one_mle,30,23,0.993718719213331,True,0.010685666
1,haar,1,50,3,150,rank_one_mle,30,10,0.9985531585486144,True,0.005281458
