sample,state_type,shots_per_setting,method,hs_distance,fidelity,minimum_eigenvalue,inference_seconds
0,product,500,linear_inversion,0.06830495349488098,1.0,-0.03587246183439432,0.00022341600015352014
0,product,500,maximum_likelihood,0.04400509533288995,0.9945638194853793,1.28893246611238e-16,0.021691833000659244
0,product,500,neural_network,0.25714798663387,0.9413673355738981,5.162787223014711e-07,9.204200068779755e-05
1,haar,500,linear_inversion,0.05887259613153449,1.0,-0.03909515356737612,0.00020383299852255732
1,haar,500,maximum_likelihood,0.031941677635129895,0.9929290640251163,5.375847614737993e-15,0.02190162499937287
1,haar,500,neural_network,0.35149730206047963,0.9230018709590566,6.913514256611477e-09,8.574999992561061e-05
2,mixed,500,linear_inversion,0.07817954947206349,0.9773291000642237,-0.0014974387347156841,0.0002107500004058238
2,mixed,500,maximum_likelihood,0.05910072785918021,0.9832698163453304,8.495575739966708e-13,0.021283124999172287
2,mixed,500,neural_network,0.42910715405576105,0.7894423191924804,0.048419986600466564,6.408300032489933e-05
3,product,500,linear_inversion,0.05747666528428697,1.0,-0.03518549217036879,0.000198124998860294
3,product,500,maximum_likelihood,0.021943012302276497,0.9961451689360346,5.279479491279887e-16,0.021609375000480213
3,product,500,neural_network,0.17087389522794644,0.9676504719919393,1.4143021153760353e-06,5.625000085274223e-05
4,haar,500,linear_inversion,0.06565727264340636,0.9981925648668588,-0.02098251559023906,0.00021708300118916668
4,haar,500,maximum_likelihood,0.0341460034700302,0.9916419125742504,1.0343608168651228e-13,0.021613875000184635
4,haar,500,neural_network,0.14254002425602647,0.9497814353874912,0.0001424432991013798,5.437499930849299e-05
5,mixed,500,linear_inversion,0.09952320133764278,0.9854317462852978,0.06437429633865058,0.0002152500001102453
5,mixed,500,maximum_likelihood,0.07612408961069228,0.9913132732116613,0.04822553869929706,0.02160037500107137
5,mixed,500,neural_network,0.24226410044698918,0.9394408031259616,0.03853222088318696,5.824999971082434e-05
6,product,500,linear_inversion,0.04952402062411137,0.9897037062711138,-0.017876081451359344,0.00020858300013060216
6,product,500,maximum_likelihood,0.03200619114635711,0.9933012182849517,4.1402420399228465e-17,0.021678707998944446
6,product,500,neural_network,0.27479901420155556,0.9451358432826986,1.4914523762570411e-06,5.6834000133676454e-05
7,haar,500,linear_inversion,0.1003704681082633,0.9981169108623017,-0.03998480019583856,0.00019537499974831007
7,haar,500,maximum_likelihood,0.059047433281421494,0.9764947312707286,1.0018458226988835e-14,0.021624499999234104
7,haar,500,neural_network,0.2659926812204729,0.9262302714555025,0.0018034762972324104,5.408300057752058e-05
8,mixed,500,linear_inversion,0.08628646810486734,1.0,-0.01657321483602982,0.0002103749993693782
8,mixed,500,maximum_likelihood,0.07650069939751089,0.9835797033750046,5.537734726207735e-13,0.02171608299977379
8,mixed,500,neural_network,0.31500597080919707,0.8886273081758556,0.04284951302623937,5.612499990093056e-05
9,product,500,linear_inversion,0.08152331645855156,1.0,-0.03273079694964728,0.00019420799981162418
9,product,500,maximum_likelihood,0.051478579598632876,0.9986749894100518,2.554206380310112e-13,0.00465795799937041
9,product,500,neural_network,0.20315255011832004,0.9670377807401764,1.6743358149961893e-05,5.545800013351254e-05
10,haar,500,linear_inversion,0.07599109629306604,0.9930006963713424,-0.027809511970023633,0.00019508300101733766
10,haar,500,maximum_likelihood,0.04330575859959258,0.9791607586635588,4.082203277383632e-14,0.021972832999381353
10,haar,500,neural_network,0.2762471349522988,0.9195806542723953,0.0017461410667440021,5.533299918170087e-05
11,mixed,500,linear_inversion,0.08872866472301448,0.982584886934415,0.026750599184212492,0.00019950000023527537
11,mixed,500,maximum_likelihood,0.08355046267490868,0.9867503201594948,0.02109688376564083,0.021741582999311504
11,mixed,500,neural_network,0.2817089118462275,0.9101373429452202,0.03375740043528068,5.574999886448495e-05
12,product,500,linear_inversion,0.05639283355023005,0.9908259513840634,-0.025852302080549505,0.000194709000425064
12,product,500,maximum_likelihood,0.032128524343099554,0.9901412740601538,8.737959959812646e-17,0.021587167000689078
12,product,500,neural_network,0.14286935959545705,0.9647819019243108,2.1244865555117745e-06,5.3625000873580575e-05
13,haar,500,linear_inversion,0.06374726864037825,0.9954021590750045,-0.034122816137019694,0.0002006659997277893
13,haar,500,maximum_likelihood,0.038320357015467994,0.9970042490116835,2.301362155883256e-13,0.02157733400053985
13,haar,500,neural_network,0.1993012828239415,0.9516403318259986,1.4800826182574403e-06,6.020900036673993e-05
14,mixed,500,linear_inversion,0.09344122835676984,0.9960652998185775,-0.006910267324530587,0.00019791700105997734
14,mixed,500,maximum_likelihood,0.05695015474653045,0.9960139072860587,1.1997517855068202e-13,0.02176549999967392
14,mixed,500,neural_network,0.2501625395176705,0.9174209261433959,0.02268116881011589,5.770899952040054e-05
15,product,500,linear_inversion,0.05247348939791918,1.0,-0.03549226345406524,0.00019824999981210567
15,product,500,maximum_likelihood,0.03462708891948168,0.9947769146949172,1.653634042883113e-13,0.02161924999927578
15,product,500,neural_network,0.20676582136717805,0.9674907592890823,0.0005067237508593154,5.2834000598522834e-05
16,haar,500,linear_inversion,0.09115231374351124,0.9870416519403465,-0.05960274335675838,0.00021062499945401214
16,haar,500,maximum_likelihood,0.04276821345114478,0.9858746685210762,1.2347620919221222e-14,0.021720875000028173
16,haar,500,neural_network,0.19195381099952624,0.8998169648623359,0.012358902792156002,5.129100100020878e-05
17,mixed,500,linear_inversion,0.08592420001994955,0.9919587039232345,0.041366106457709564,0.0002000839995162096
17,mixed,500,maximum_likelihood,0.07564211501116722,0.994066336801564,0.03903246257683476,0.021660332999090315
17,mixed,500,neural_network,0.3638388986994657,0.8894406336572592,0.07233402600984676,5.208299990044907e-05
18,product,500,linear_inversion,0.04117451300371754,0.9977643411276209,-0.014469904258008565,0.0001965000010386575
18,product,500,maximum_likelihood,0.03544148910740368,0.9920796565784765,3.205225488757232e-13,0.021411499999885564
18,product,500,neural_network,0.15074231573055139,0.9839418943587873,3.298658474688529e-05,6.858300002932083e-05
19,haar,500,linear_inversion,0.06893618287622333,0.9769359129463453,-0.024041296793528708,0.0002083749986923067
19,haar,500,maximum_likelihood,0.058971285740984036,0.9742278667494887,2.7285163248954054e-14,0.02136666700062051
19,haar,500,neural_network,0.6526953559477223,0.6068030593234586,0.0023981924748784325,5.6165999922086485e-05
20,mixed,500,linear_inversion,0.0690559310798293,0.9871681697824951,0.0001746796527463647,0.00019779099966399372
20,mixed,500,maximum_likelihood,0.061309145118103696,0.9883268175181598,0.00019533450527492457,0.02153941599863174
20,mixed,500,neural_network,0.2695597875485299,0.8590900724855208,0.033787559020420035,5.9374999182182364e-05
21,product,500,linear_inversion,0.07982245187668736,0.998654192265882,-0.023790923369088272,0.00020329099970695097
21,product,500,maximum_likelihood,0.04026810776832178,0.9930235472795806,2.339010628823956e-15,0.021640499999193707
21,product,500,neural_network,0.29516643031541806,0.9182297126829971,1.2442621984379776e-05,5.2583000069716945e-05
22,haar,500,linear_inversion,0.09144752778407227,0.99691668316787,-0.052906394400576075,0.00020245799896656536
22,haar,500,maximum_likelihood,0.05361971423326138,0.9888534337346987,4.643772416679229e-15,0.021624332999635953
22,haar,500,neural_network,0.22013502503237808,0.9511403514013577,1.3394140411535594e-07,5.31250007043127e-05
23,mixed,500,linear_inversion,0.08217488097377314,0.9906707193404266,0.022105525397857255,0.00020829099958064035
23,mixed,500,maximum_likelihood,0.07371790727043709,0.9922924330570497,0.021573770919021736,0.021522167000512127
23,mixed,500,neural_network,0.239487093659853,0.942268770822752,0.04136882341752775,7.687499964958988e-05
24,product,500,linear_inversion,0.06286894018487403,1.0,-0.03694516864408475,0.0002087500015477417
24,product,500,maximum_likelihood,0.02136508238740109,0.9996083881245079,3.243201191680128e-14,0.021428166000987403
24,product,500,neural_network,0.20934729200772295,0.9739878701520849,4.687125522602813e-08,6.116699842095841e-05
25,haar,500,linear_inversion,0.07444285754244247,1.0,-0.04037459643722278,0.00021087499953864608
25,haar,500,maximum_likelihood,0.03943444963557534,0.9987348703622384,5.889734635466736e-17,0.021624958000757033
