n_qubits,dimension,shots_per_setting,settings,replicates,mean_negative_eigenvalues,std_negative_eigenvalues,nonphysical_fraction,mean_minimum_eigenvalue
1,2,50,3,20,0.65,0.48936048492959294,0.65,-0.017420140476731204
1,2,100,3,20,0.6,0.5026246899500346,0.6,-0.00214996899388817
1,2,200,3,20,0.6,0.5026246899500346,0.6,-0.004049279133271535
1,2,500,3,20,0.55,0.5104177855340404,0.55,-0.0038137351765954773
1,2,1000,3,20,0.65,0.48936048492959283,0.65,-0.0021096644324451264
1,2,2000,3,20,0.55,0.5104177855340404,0.55,-0.0009220806691084858
2,4,50,9,20,1.65,0.48936048492959294,1.0,-0.1075358681665288
2,4,100,9,20,1.55,0.5104177855340404,1.0,-0.07798817324278122
2,4,200,9,20,1.4,0.5982430416161189,1.0,-0.06101401538856087
2,4,500,9,20,1.4,0.5026246899500346,1.0,-0.037008819150597186
2,4,1000,9,20,1.55,0.5104177855340404,1.0,-0.023990343979360857
2,4,2000,9,20,1.4,0.5026246899500346,1.0,-0.015774320163726024
3,8,50,27,20,3.45,0.5104177855340405,1.0,-0.18883070377137134
3,8,100,27,20,3.6,0.5026246899500346,1.0,-0.12789718550800683
3,8,200,27,20,3.45,0.5104177855340405,1.0,-0.08797243401553037
3,8,500,27,20,3.35,0.48936048492959294,1.0,-0.0602210848078931
3,8,1000,27,20,3.65,0.48936048492959294,1.0,-0.040742168144047936
3,8,2000,27,20,3.55,0.5104177855340405,1.0,-0.029650759023094726
4,16,50,81,20,7.45,0.6048053188292994,1.0,-0.23059892125734902
4,16,100,81,20,7.55,0.6048053188292994,1.0,-0.1629614706616075
4,16,200,81,20,7.5,0.512989176042577,1.0,-0.11801952939435603
4,16,500,81,20,7.35,0.4893604849295929,1.0,-0.07487839847662822
4,16,1000,81,20,7.45,0.5104177855340405,1.0,-0.04999313189820308
4,16,2000,81,20,7.4,0.5026246899500346,1.0,-0.03689982166434407
5,32,50,243,20,15.7,0.47016234598162726,1.0,-0.2563279707836542
5,32,100,243,20,15.5,0.512989176042577,1.0,-0.17737561956485803
5,32,200,243,20,15.45,0.6048053188292994,1.0,-0.12735761125042772
5,32,500,243,20,15.8,0.6958523739384593,1.0,-0.08241274660830403
5,32,1000,243,20,15.2,0.4103913408340616,1.0,-0.05771320820792889
5,32,2000,243,20,15.6,0.5982430416161189,1.0,-0.04109533755269036
