noise_case,method,replicates,mean_target_fidelity,std_target_fidelity,mean_ideal_to_target_fidelity,physical_fraction,mean_inference_seconds
amplitude_damping_p08,linear_inversion,8,0.9931617268749493,0.008827910071112798,0.922085740497441,0.0,0.00035146362279192545
amplitude_damping_p08,maximum_likelihood,8,0.9891694723899114,0.004439320955605565,0.922085740497441,1.0,0.07009823425323702
amplitude_damping_p08,neural_network,8,0.925472550745873,0.04111473090446203,0.922085740497441,1.0,0.0002104846207657829
biased_pauli_02_01_05,linear_inversion,8,0.9797044607873873,0.011481864049851348,0.8779670046448292,0.375,0.0003519375059113372
biased_pauli_02_01_05,maximum_likelihood,8,0.9765916139481945,0.012812312827407416,0.8779670046448292,1.0,0.0705193228823191
biased_pauli_02_01_05,neural_network,8,0.9336723768910344,0.021041670842469044,0.8779670046448292,1.0,0.00021197900787228718
coherent_z_rotation_008rad,linear_inversion,8,0.9925981596478164,0.009899161082781495,0.9973872545318371,0.0,0.00035091662357444875
coherent_z_rotation_008rad,maximum_likelihood,8,0.9926327452337066,0.006802230523078083,0.9973872545318371,1.0,0.06323773424810497
coherent_z_rotation_008rad,neural_network,8,0.9198620030844062,0.05098783572983349,0.9973872545318371,1.0,0.00021083312094560824
finite_shots_only,linear_inversion,8,0.9985593131073479,0.0026946414692613756,1.0,0.0,0.0003538957498676609
finite_shots_only,maximum_likelihood,8,0.9915345262170032,0.008609781134554465,1.0,1.0,0.06468185449921293
finite_shots_only,neural_network,8,0.9206508594811229,0.04895869010032387,1.0,1.0,0.0002233752456959337
global_depolarizing_p08,linear_inversion,8,0.9800781691185486,0.003758762634137249,0.940000020345545,0.125,0.0003604007506510243
global_depolarizing_p08,maximum_likelihood,8,0.9752906689672896,0.005199394729923583,0.940000020345545,1.0,0.07021991687361151
global_depolarizing_p08,neural_network,8,0.9485495628078833,0.020033273553593505,0.940000020345545,1.0,0.0002175782465201337
phase_damping_p08,linear_inversion,8,0.9933038211139164,0.006966488222967593,0.9367400673292973,0.0,0.00037481775143533014
phase_damping_p08,maximum_likelihood,8,0.9842380273563016,0.007470180089657332,0.9367400673292973,1.0,0.07039698937660432
phase_damping_p08,neural_network,8,0.9280471921439806,0.029823877225572448,0.9367400673292973,1.0,0.00021262512018438429
readout_assignment_3pct_5pct,linear_inversion,8,0.9041955573033048,0.01830401034514932,1.0,0.375,0.0003586509956221562
readout_assignment_3pct_5pct,maximum_likelihood,8,0.9016517436477309,0.01971780547517654,1.0,1.0,0.07005457299965201
readout_assignment_3pct_5pct,neural_network,8,0.8631942104743131,0.08922498227539061,1.0,1.0,0.00020927600417053327
