n_qubits,settings_3_to_n,frequencies_6_to_n,density_parameters_4_to_n,copies_at_500_shots,dense_density_gib_complex128,dense_frequency_gib_float64
1,3,6,4,1500,5.960464477539063e-08,4.470348358154297e-08
2,9,36,16,4500,2.384185791015625e-07,2.682209014892578e-07
3,27,216,64,13500,9.5367431640625e-07,1.6093254089355469e-06
4,81,1296,256,40500,3.814697265625e-06,9.655952453613281e-06
5,243,7776,1024,121500,1.52587890625e-05,5.793571472167969e-05
6,729,46656,4096,364500,6.103515625e-05,0.0003476142883300781
7,2187,279936,16384,1093500,0.000244140625,0.0020856857299804688
8,6561,1679616,65536,3280500,0.0009765625,0.012514114379882812
9,19683,10077696,262144,9841500,0.00390625,0.07508468627929688
10,59049,60466176,1048576,29524500,0.015625,0.45050811767578125
11,177147,362797056,4194304,88573500,0.0625,2.7030487060546875
12,531441,2176782336,16777216,265720500,0.25,16.218292236328125
13,1594323,13060694016,67108864,797161500,1.0,97.30975341796875
14,4782969,78364164096,268435456,2391484500,4.0,583.8585205078125
